Date,No_of_calls_from_commercial_card
4/9/2020,1332.0
4/10/2020,1086.0
4/11/2020,306.0
4/12/2020,171.0
4/13/2020,1412.0
4/14/2020,1375.0
4/15/2020,1387.0
4/16/2020,1301.0
4/17/2020,1331.0
4/18/2020,345.0
4/19/2020,204.0
4/20/2020,1429.0
4/21/2020,1294.0
4/22/2020,1247.0
4/23/2020,1288.0
4/24/2020,1255.0
4/25/2020,316.0
4/26/2020,231.0
4/27/2020,1362.0
4/28/2020,1340.0
4/29/2020,1270.0
4/30/2020,1388.0
5/1/2020,1357.0
5/2/2020,242.0
5/3/2020,234.0
5/4/2020,1569.0
5/5/2020,1338.0
5/6/2020,1259.0
5/7/2020,1222.0
5/8/2020,1139.0
5/9/2020,278.0
5/10/2020,161.0
5/11/2020,1271.0
5/12/2020,1162.0
5/13/2020,1109.0
5/14/2020,1124.0
5/15/2020,1060.0
5/16/2020,267.0
5/17/2020,176.0
5/18/2020,1384.0
5/19/2020,1282.0
5/20/2020,1304.0
5/21/2020,1320.0
5/22/2020,958.0
5/23/2020,312.0
5/24/2020,225.0
5/25/2020,195.0
5/26/2020,1547.0
5/27/2020,1368.0
5/28/2020,1322.0
5/29/2020,1195.0
5/30/2020,326.0
5/31/2020,238.0
6/1/2020,1398.0
6/2/2020,1415.0
6/3/2020,1338.0
6/4/2020,1226.0
6/5/2020,1229.0
6/6/2020,319.0
6/7/2020,212.0
6/8/2020,1335.0
6/9/2020,1351.0
6/10/2020,1152.0
6/11/2020,1293.0
6/12/2020,1086.0
6/13/2020,242.0
6/14/2020,241.0
6/15/2020,1403.0
6/16/2020,1408.0
6/17/2020,1295.0
6/18/2020,1230.0
6/19/2020,945.0
6/20/2020,352.0
6/21/2020,200.0
6/22/2020,1426.0
6/23/2020,1329.0
6/24/2020,1267.0
6/25/2020,1324.0
6/26/2020,1196.0
6/27/2020,366.0
6/28/2020,229.0
6/29/2020,1396.0
6/30/2020,1482.0
7/1/2020,1541.0
7/2/2020,1188.0
7/3/2020,406.0
7/4/2020,98.0
7/5/2020,217.0
7/6/2020,1419.0
7/7/2020,1278.0
7/8/2020,1187.0
7/9/2020,1215.0
7/10/2020,1068.0
7/11/2020,388.0
7/12/2020,213.0
7/13/2020,1338.0
7/14/2020,1141.0
7/15/2020,1296.0
7/16/2020,1305.0
7/17/2020,1196.0
7/18/2020,330.0
7/19/2020,274.0
7/20/2020,1380.0
7/21/2020,1349.0
7/22/2020,1224.0
7/23/2020,1254.0
7/24/2020,1013.0
7/25/2020,335.0
7/26/2020,245.0
7/27/2020,1517.0
7/28/2020,1454.0
7/29/2020,1259.0
7/30/2020,1307.0
7/31/2020,1136.0
8/1/2020,432.0
8/2/2020,246.0
8/3/2020,1752.0
8/4/2020,1457.0
8/5/2020,1247.0
8/6/2020,1364.0
8/7/2020,1095.0
8/8/2020,338.0
8/9/2020,275.0
8/10/2020,1365.0
8/11/2020,1396.0
8/12/2020,1340.0
8/13/2020,1291.0
8/14/2020,1217.0
8/15/2020,299.0
8/16/2020,237.0
8/17/2020,1453.0
8/18/2020,1257.0
8/19/2020,1321.0
8/20/2020,1345.0
8/21/2020,1170.0
8/22/2020,330.0
8/23/2020,238.0
8/24/2020,1438.0
8/25/2020,1295.0
8/26/2020,1322.0
8/27/2020,1312.0
8/28/2020,1292.0
8/29/2020,339.0
8/30/2020,271.0
8/31/2020,1580.0
9/1/2020,1623.0
9/2/2020,1315.0
9/3/2020,1379.0
9/4/2020,1173.0
9/5/2020,288.0
9/6/2020,213.0
9/7/2020,194.0
9/8/2020,1455.0
9/9/2020,1355.0
9/10/2020,1382.0
9/11/2020,1216.0
9/12/2020,301.0
9/13/2020,279.0
9/14/2020,1310.0
9/15/2020,1394.0
9/16/2020,1293.0
9/17/2020,1209.0
9/18/2020,1059.0
9/19/2020,326.0
9/20/2020,260.0
9/21/2020,1413.0
9/22/2020,1414.0
9/23/2020,1415.0
9/24/2020,1332.0
9/25/2020,1245.0
9/26/2020,341.0
9/27/2020,293.0
9/28/2020,1555.0
9/29/2020,1471.0
9/30/2020,1451.0
10/1/2020,1568.0
10/2/2020,1269.0
10/3/2020,300.0
10/4/2020,303.0
10/5/2020,1601.0
10/6/2020,1461.0
10/7/2020,1435.0
10/8/2020,1273.0
10/9/2020,1136.0
10/10/2020,316.0
10/11/2020,247.0
10/12/2020,1243.0
10/13/2020,1326.0
10/14/2020,1392.0
10/15/2020,1344.0
10/16/2020,1307.0
10/17/2020,351.0
10/18/2020,293.0
10/19/2020,1490.0
10/20/2020,1513.0
10/21/2020,1545.0
10/22/2020,1549.0
10/23/2020,1331.0
10/24/2020,353.0
10/25/2020,240.0
10/26/2020,1534.0
10/27/2020,1605.0
10/28/2020,1614.0
10/29/2020,1522.0
10/30/2020,1355.0
10/31/2020,363.0
11/1/2020,283.0
11/2/2020,1753.0
11/3/2020,1466.0
11/4/2020,1377.0
11/5/2020,1375.0
11/6/2020,1211.0
11/7/2020,298.0
11/8/2020,259.0
11/9/2020,1462.0
11/10/2020,1380.0
11/11/2020,1110.0
11/12/2020,1403.0
11/13/2020,1153.0
11/14/2020,311.0
11/15/2020,237.0
11/16/2020,1641.0
11/17/2020,1556.0
11/18/2020,1502.0
11/19/2020,1352.0
11/20/2020,1399.0
11/21/2020,356.0
11/22/2020,242.0
11/23/2020,1492.0
11/24/2020,1457.0
11/25/2020,1237.0
11/26/2020,112.0
11/27/2020,423.0
11/28/2020,301.0
11/29/2020,243.0
11/30/2020,1700.0
12/1/2020,1691.0
12/2/2020,1528.0
12/3/2020,1464.0
12/4/2020,1231.0
12/5/2020,343.0
12/6/2020,250.0
12/7/2020,1548.0
12/8/2020,1439.0
12/9/2020,1463.0
12/10/2020,1295.0
12/11/2020,1203.0
12/12/2020,284.0
12/13/2020,237.0
12/14/2020,1340.0
12/15/2020,1350.0
12/16/2020,1494.0
12/17/2020,1447.0
12/18/2020,1201.0
12/19/2020,341.0
12/20/2020,229.0
12/21/2020,1347.0
12/22/2020,1212.0
12/23/2020,1023.0
12/24/2020,415.0
12/25/2020,60.0
12/26/2020,239.0
12/27/2020,178.0
12/28/2020,1110.0
12/29/2020,1109.0
12/30/2020,1018.0
12/31/2020,694.0
1/1/2021,98.0
1/2/2021,316.0
1/3/2021,233.0
1/4/2021,1615.0
1/5/2021,1470.0
1/6/2021,1272.0
1/7/2021,1197.0
1/8/2021,1167.0
1/9/2021,280.0
1/10/2021,213.0
1/11/2021,1252.0
1/12/2021,1219.0
1/13/2021,1198.0
1/14/2021,1196.0
1/15/2021,1117.0
1/16/2021,301.0
1/17/2021,211.0
1/18/2021,896.0
1/19/2021,1346.0
1/20/2021,1271.0
1/21/2021,1235.0
1/22/2021,1115.0
1/23/2021,319.0
1/24/2021,243.0
1/25/2021,1379.0
1/26/2021,1341.0
1/27/2021,1342.0
1/28/2021,1241.0
1/29/2021,1055.0
1/30/2021,335.0
1/31/2021,249.0
2/1/2021,1378.0
2/2/2021,1406.0
2/3/2021,1375.0
2/4/2021,1382.0
2/5/2021,1246.0
2/6/2021,348.0
2/7/2021,195.0
2/8/2021,1265.0
2/9/2021,1182.0
2/10/2021,1187.0
2/11/2021,1194.0
2/12/2021,996.0
2/13/2021,321.0
2/14/2021,227.0
2/15/2021,739.0
2/16/2021,1189.0
2/17/2021,1086.0
2/18/2021,1075.0
2/19/2021,1064.0
2/20/2021,314.0
2/21/2021,240.0
2/22/2021,1297.0
2/23/2021,1363.0
2/24/2021,1247.0
2/25/2021,1221.0
2/26/2021,1272.0
2/27/2021,289.0
2/28/2021,243.0
3/1/2021,1400.0
3/2/2021,1441.0
3/3/2021,1354.0
3/4/2021,1195.0
3/5/2021,1150.0
3/6/2021,312.0
3/7/2021,249.0
3/8/2021,1223.0
3/9/2021,1250.0
3/10/2021,1186.0
3/11/2021,1221.0
3/12/2021,1267.0
3/13/2021,326.0
3/14/2021,286.0
3/15/2021,1560.0
3/16/2021,1453.0
3/17/2021,1393.0
3/18/2021,1283.0
3/19/2021,1049.0
3/20/2021,302.0
3/21/2021,234.0
3/22/2021,1613.0
3/23/2021,1412.0
3/24/2021,1304.0
3/25/2021,1313.0
3/26/2021,1260.0
3/27/2021,325.0
3/28/2021,255.0
3/29/2021,1455.0
3/30/2021,1346.0
3/31/2021,1334.0
4/1/2021,1374.0
4/2/2021,963.0
4/3/2021,249.0
4/4/2021,150.0
4/5/2021,1389.0
4/6/2021,1380.0
4/7/2021,1232.0
4/8/2021,1170.0
4/9/2021,1036.0
4/10/2021,289.0
4/11/2021,193.0
4/12/2021,1285.0
4/13/2021,1171.0
4/14/2021,1171.0
4/15/2021,1230.0
4/16/2021,1159.0
4/17/2021,300.0
4/18/2021,210.0
4/19/2021,1274.0
4/20/2021,1291.0
4/21/2021,1283.0
4/22/2021,1210.0
4/23/2021,1058.0
4/24/2021,261.0
4/25/2021,229.0
4/26/2021,1392.0
4/27/2021,1336.0
4/28/2021,1220.0
4/29/2021,1094.0
4/30/2021,1119.0
